Codigo,Município,Ano,Negativo,Positivo,Femenino,Masculino,20 - 39 anos,40 - 59 anos
350010,ADAMANTINA,2023,7,1,1,7,1,3
350020,ADOLFO,2023,,3,,,5,
350030,AGUAI,2023,11,1,3,11,1,5
350040,AGUAS DA PRATA,2023,1,1,1,,11,
350055,AGUAS DE SANTA BARBARA,2023,,1,4,1,1,
350060,AGUAS DE SAO PEDRO,2023,,1,,,1,
350070,AGUDOS,2023,14,,1,,2,2
350075,ALAMBARI,2023,1,1,2,11,3,
350080,ALFREDO MARCONDES,2023,,3,4,1,15,
350090,ALTAIR,2023,1,1,3,,1,
350100,ALTINOPOLIS,2023,3,1,4,3,24,3
350110,ALTO ALEGRE,2023,14,4,,10,2,7
350115,ALUMINIO,2023,4,4,4,3,1,2
350130,ALVARES MACHADO,2023,9,,2,5,4,4
350140,ALVARO DE CARVALHO,2023,21,,4,22,1,7
350150,ALVINLANDIA,2023,1,12,1,1,19,14
350160,AMERICANA,2023,40,,3,42,2,3
350170,AMERICO BRASILIENSE,2023,6,,1,6,,10
350180,AMERICO DE CAMPOS,2023,,1,,1,1,
350190,AMPARO,2023,12,6,5,14,11,9
350200,ANALANDIA,2023,1,3,1,,3,3
350210,ANDRADINA,2023,25,1,2,26,3,
350220,ANGATUBA,2023,6,2,4,5,28,5
350230,ANHEMBI,2023,1,2,13,1,,1
350240,ANHUMAS,2023,1,,3,1,1,2
350250,APARECIDA,2023,15,1,1,17,1,6
350260,APARECIDA D'OESTE,2023,1,1,6,3,25,28
350270,APIAI,2023,5,2,15,7,23,6
350275,ARACARIGUAMA,2023,9,1,3,56,,1
350280,ARACATUBA,2023,56,1,4,7,1,21
350290,ARACOIABA DA SERRA,2023,7,9,14,1,3,23
350310,ARANDU,2023,1,,7,1,4,1
350315,ARAPEI,2023,1,12,10,1,14,7
350320,ARARAQUARA,2023,49,24,,44,25,16
350330,ARARAS,2023,45,2,1,36,26,10
350340,AREALVA,2023,1,4,6,1,10,18
350350,AREIAS,2023,1,5,3,1,23,
350360,AREIOPOLIS,2023,5,1,1,2,6,11
350380,ARTUR NOGUEIRA,2023,8,1,2,11,31,1
350390,ARUJA,2023,27,1,2,23,,7
350395,ASPASIA,2023,,1,1,,4,2
350400,ASSIS,2023,37,3,5,37,2,1
350410,ATIBAIA,2023,50,2,2,43,,
350420,AURIFLAMA,2023,1,,14,1,6,1
350440,AVANHANDAVA,2023,10,1,1,10,6,26
350450,AVARE,2023,39,1,47,35,1,
350460,BADY BASSITT,2023,9,1,1,6,1,36
350470,BALBINOS,2023,32,1,3,39,15,3
350480,BALSAMO,2023,2,4,50,1,5,2
350490,BANANAL,2023,9,2,7,7,64,63
350500,BARAO DE ANTONINA,2023,1,1,1,1,1,7
350510,BARBOSA,2023,,1,,,3,
350520,BARIRI,2023,3,,33,6,139,3
350530,BARRA BONITA,2023,12,42,5,8,7,36
350535,BARRA DO CHAPEU,2023,2,2,1,3,1,10
350540,BARRA DO TURVO,2023,1,1,1,31,9,3
350550,BARRETOS,2023,35,3,,8,38,1
350560,BARRINHA,2023,8,2,,81,16,
350570,BARUERI,2023,111,2,2,5,4,2
350580,BASTOS,2023,5,4,3,4,2,6
350590,BATATAIS,2023,7,2,,194,2,2
350600,BAURU,2023,213,31,,17,,10
350610,BEBEDOURO,2023,21,,9,1,1,14
350620,BENTO DE ABREU,2023,2,2,9,14,4,1
350630,BERNARDINO DE CAMPOS,2023,13,,2,59,1,2
350635,BERTIOGA,2023,72,2,2,23,3,1
350650,BIRIGUI,2023,22,,2,7,22,2
350660,BIRITIBA-MIRIM,2023,4,1,2,2,17,1
350670,BOA ESPERANCA DO SUL,2023,3,2,1,2,2,
350680,BOCAINA,2023,1,1,3,3,1,
350690,BOFETE,2023,1,1,4,7,1,7
350700,BOITUVA,2023,7,2,2,4,3,9
